ques,op1,op2,op3,op4,op5,"m,n",ans,sol,topic
"<p> <img align=""bottom"" height=""49"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_784abd96be82688a.gif"" width=""237""/> </p> <p><font face=""Cambria Math, serif"">Final product and the name of the reaction is</font></p>","   <img align=""bottom"" height=""46"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_59dcdcd1a7d7fad7.gif"" width=""150""/>    ","   <img align=""bottom"" height=""51"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c3f6be896f3966af.gif"" width=""244""/>          ","   <img align=""bottom"" height=""43"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4fd403feb83a67fc.gif"" width=""229""/>    ",   None of the above    ,,,1 ," <p> <font face=""Cambria Math, serif"">Following is the example of Knoevengel reaction, which is shown by aldehydes and ketones</font></p> <p align=""justify""><img align=""bottom"" height=""136"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_28798f6bb483de50.gif"" width=""285""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Complete the following reaction,</font></p> <p><img align=""bottom"" height=""38"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ca5ba09b275f1c04.gif"" width=""276""/> ","   <img align=""bottom"" height=""50"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4d55a31b0e9a39b6.gif"" width=""151""/>    ","   <img align=""bottom"" height=""51"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_db6d3e7226fb84f1.gif"" width=""146""/>          ","   <img align=""bottom"" height=""45"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_504b2cb3b453b6fe.gif"" width=""150""/>    ","   <img align=""bottom"" height=""49"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9339276dcb5d874.gif"" width=""150""/>     ",,,2,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In the following reaction</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_85ddb715d34f0e4f.gif""/> </p> <p><font face=""Cambria Math, serif"">The major amounts of <i>X </i> and <i> Y </i>are</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e6d9ea7ddb757c3b.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6cbb06c2542b00b9.gif""/>          ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6ab488f822826bd9.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_243e79683cdc4e8a.gif""/>     ",,,2 ," <p> <font face=""Cambria Math, serif"">When an acid is heated with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_301413447a24469f.gif""/> <font face=""Cambria Math, serif""> in presence of P,</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bc59202daf45236a.gif""/> <font face=""Cambria Math, serif"">H atom of the acid is replaced by bromine atom. This reaction is called Hell-Volhard Zelinsky reaction. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_517eaa600324f649.gif""/> <font face=""Cambria Math, serif""> is a better nucleophile than</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6c8cfaba8a8eec97.gif""/> <font face=""Cambria Math, serif"">.</font></p> <p><img align=""bottom"" height=""155"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ffc3a2b45bf27823.gif"" width=""290""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Benzaldehyde and acetone can be best distinguished using</font></p>",   Fehling’s solution   ,   Sodium hydroxide solution         ,"   2, 4-DNP   ",   Tollen’s reagent    ,,,4 ," <p><font face=""Cambria Math, serif"">With Fehling’s solution, benzaldehyde as well as acetone do not react while with Tollen’s reagent, benzaldehyde gives precipitate but acetone done not react. Hence, Tollen’s reagent is used to distinguish them.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_476923ec50cc24ad.gif""/> <font face=""Cambria Math, serif"">In the above reaction </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_371f738a3a480e2c.gif""/> <font face=""Cambria Math, serif""> is</font></p>",   Butanol   ,   Aldol   ,   Ketol   ,   Acetal    ,,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Give the order of ease of the esterification of the following acids</font></p> <p><img align=""bottom"" height=""165"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_798aa1b320fadf85.gif"" width=""253""/> <font color=""#ff0000""> </font> ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_89349889c42b9183.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f324db50d81d1bd2.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4dbfdff78464841.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_89349889c42b9183.gif""/>     ",,,1," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f0daee9d62b19549.gif""/> <font face=""Cambria Math, serif"">group has a strong </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2a54ff9d56052558.gif""/> <font face=""Cambria Math, serif""> effect and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_67bde3339c764c49.gif""/> <font face=""Cambria Math, serif""> group has a weak </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_859f2090844d1c90.gif""/> <font face=""Cambria Math, serif""> but strong </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fabc7f25ec39bac.gif""/> <font face=""Cambria Math, serif""> effect, hence they increase the electron density on oxygen atom and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f4bd662dd2edd4c.gif""/> <font face=""Cambria Math, serif""> bond becomes stronger. On the other hand, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8c74cae1742927a.gif""/> <font face=""Cambria Math, serif""> group has a strong </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_859f2090844d1c90.gif""/> <font face=""Cambria Math, serif""> and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d667a332e7e248be.gif""/> <font face=""Cambria Math, serif""> effect. It withdraws electrons from benzene ring as well as oxygen atom of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_922c7efd8be72966.gif""/> <font face=""Cambria Math, serif""> group and proton is easily removed. Order of esterification is </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_89349889c42b9183.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following statements is/are correct?</font></p>",   Magnesium citrate is used as antacid         ,   Tartar emetic is used to produce nausea and vomiting in the treatment of poisoning           ,   Cream of tarter (pot. Hydrogen tartrate) is used in baking powder         ,   All of the above      ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which of the following reaction is a condensation reaction?</font></p>",   HCHO ⟶Para-formaldehyde           ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8778898fa4c7b129.gif""/> ⟶ Paraldehyde           ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f02846efb73fd494.gif""/> ⟶ Mesityl oxide           ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_daf14c12e9545dfb.gif""/> =<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_daf14c12e9545dfb.gif""/>  ⟶ Polyethylene    ",,,3 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In Duma’s method for determining the nitrogen content of an organic compound, the nitrogen content is determined in the form of:</font></p>","   Gaseous  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_66b9c35c17e9788c.gif""/>    ",   NaCN   ,"   Gaseous  <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_146763b3f73e81ab.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_aaed127dcf38ad87.gif""/>     ",,,3 ," <p align=""justify""><font face=""Cambria Math, serif"">The </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_146763b3f73e81ab.gif""/> <font face=""Cambria Math, serif""> evolved during the process is measured at desired</font><font face=""Cambria Math, serif""><i> </i></font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4c2c5c7691a149e5.gif""/> <font face=""Cambria Math, serif"">and </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6c810b1183d764b0.gif""/> <font face=""Cambria Math, serif""><i>.</i></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">An organic compound containing C, H and O gives red colouration with sodium nitroprusside solution but does not reduce Tollen’s reagent and yields chloroform on treating with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_73c4671e0b5fe04c.gif""/> <font face=""Cambria Math, serif"">. The compound is</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_c6bbc3589139e235.gif""/>    ","   <img align=""bottom"" height=""43"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a0e9f0b7d02238a7.gif"" width=""118""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_52a2d8121bf5d085.gif""/>     ",,,3," <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8dfa18aea5fe73aa.gif""/> <font face=""Cambria Math, serif"">gives red colour with sodium nitroprusside solution but does not reduce Tollen’s reagent. Acetone yields chloroform with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e12878ab601ce0ca.gif""/> </p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b50455151603b6f4.gif""/> </p> <p><font face=""Cambria Math, serif"">Acetone chloroform</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">In a Cannizaro reaction, the intermediate that will be best hydride donor is</font></p>","   <img align=""bottom"" height=""76"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3a38e22bdc5bf2a2.gif"" width=""97""/>    ","   <img align=""bottom"" height=""79"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b7f547dbb4d8193c.gif"" width=""100""/>          ","   <img align=""bottom"" height=""77"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ef71cfec6bcd1dc5.gif"" width=""135""/>    ","   <img align=""bottom"" height=""81"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_d1550ef7b62010e3.gif"" width=""133""/>     ",,,4 ," <p><font face=""Cambria Math, serif"">The effect of electron-withdrawing substituent in the benzene ring fastens the Cannizaro reaction</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">0.58 g of hydrocarbon on combustion gave 0.9 g water. The percentage of carbon is about : </font> ",   75.8   ,   82.7   ,   27.85   ,   68.8    ,,,2 ," <p> <font face=""Cambria Math, serif"">First find % of H by = </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_372462aea1ee5eac.gif""/> </p> <p><font face=""Cambria Math, serif"">Find percentage of C = 100―percentage of H</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_b89c62d5a76e81f8.gif""/> <font face=""Cambria Math, serif"">the product is:</font></p>",   Optically active           ,   A meso compound           ,   Racemate           ,   Mixture of distereoisomers      ,,,3 ," <p><font face=""Cambria Math, serif"">No doubt the reaction involves the synthesis of chiral centre, however; the stereosphecity cannot be controlled and both the enantiomers are formed to give a racemic mixture. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which is the most reactive of the following?</font></p>",   Ethyl acetate   ,   Acetic anhydride   ,   Acetamide   ,   Acetyl chloride    ,,,4," <p> <font face=""Cambria Math, serif"">The order of reactivity of acid derivatives is as</font></p> <p align=""left""> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_731a2ebc5054d2df.gif""/> </p> <p><font face=""Cambria Math, serif"">Hence, acetyl chloride is the most reactive among these.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">When acetamide is hydrolysed by boiling with acid, the product formed is:</font></p>",   Acetic acid     ,   Ethyl amine   ,"   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1299ac2f58205f91.gif""/>    ",   Acetamide      ,,,1 ," <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_9cec428ac0bc8858.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The most reactive compound towards formation of cyanohydrin on treatment with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/> <font face=""Cambria Math, serif""> followed by acidification is</font></p>",   Benzaldehyde   ,   <i>p-</i>nitrobenzaldehyde         ,   Phenylacetaldehyde   ,   <i>p-</i>hydroxybenzaldehyde    ,,,2 ," <p><font face=""Cambria Math, serif"">Addition of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/> <font face=""Cambria Math, serif"">to a carbonyl compound is a nucleophilic addition reaction. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8c74cae1742927a.gif""/> <font face=""Cambria Math, serif""> group being electron withdrawing increases the polarity (or electron deficiency) of carbonyl carbon and thus, makes the C=O group of benzaldehyde more reactive towards </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f3387b2da8823700.gif""/> <font face=""Cambria Math, serif"">.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Which one of the following aldehydes will not form an aldol when treated with dil. NaOH?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8778898fa4c7b129.gif""/>    ","   C<img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_27b864d31f429797.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f8779a556c67bf56.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2aabd8e45f37828.gif""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Wacker method is used to convert alkene into corresponding………using </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_10a1f4bde08f3281.gif""/> ",   Alcohol     ,   Ketone     ,   Aldehyde     ,   Acid    ,,,3," <p><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_daf14c12e9545dfb.gif""/> <font face=""Cambria Math, serif"">=</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_daf14c12e9545dfb.gif""/> <font face=""Cambria Math, serif""> + </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f81a56018869ef59.gif""/> <font face=""Cambria Math, serif""> This is Wacker method. </font> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">The figure given below describes a condensation polymer which can be obtained in two ways. Either treating 3 molecules of acetone (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_ec09a7471381349a.gif""/> <font face=""Cambria Math, serif""> with conc. </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3be1b165d96b86e1.gif""/> <font face=""Cambria Math, serif"">or passing propyne (</font><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_47f5501e3905af74.gif""/> <font face=""Cambria Math, serif"">C≡CH) through a red hot tube. The polymer is:</font></p> <p> <img align=""bottom"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_712c3f301ab5675d.gif""/> ",   Phorone     ,   Mesityl oxide     ,   Diacetonyl alcohol     ,   Mesitylene      ,,,4 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">0.5 g of an organic compound containing nitrogen on Kjeldahlising required 29 mL of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1d23bce25dbfe0e2.gif""/> <font face=""Cambria Math, serif""> </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_bbf6f251fa9f45db.gif""/> <font face=""Cambria Math, serif""> for complete neutralization of ammonia. The percentage of nitrogen in the compound is:</font></p>",   34.3   ,   16.2   ,   21.6   ,   14.8    ,,,2 ," <p align=""justify""> <font face=""Cambria Math, serif"">Meq. of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_66b9c35c17e9788c.gif""/> <font face=""Cambria Math, serif"">formed = 29 </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_3f34357dfaceb8b1.gif""/> </p> <p> <font face=""Cambria Math, serif"">Wt. of </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_a5e5f74db083a926.gif""/> </p> <p> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_880e057a2c7e4fd0.gif""/> <font face=""Cambria Math, serif"">g</font></p> <p align=""left""><img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4f7a18059183be23.gif""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">A nitrogen containing organic compound gave an oily liquid on heating with bromine and potassium hydroxide solution. On shaking the product with acetic anhydride, an antipyretic drug was obtained. The reactions indicate that the starting compound is</font></p>",   Aniline   ,   benzamide   ,   acetamide   ,   nitrobenzene    ,,,2 ," <p> <font face=""Cambria Math, serif"">Benzamide undergoes Hofmann-bromamide reaction with </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_da4f19015bcceae9.gif""/> <font face=""Cambria Math, serif""> to give aniline. This aniline give paracetamol (antipyretic drug) with acetic anhydride.</font></p> <p><img align=""bottom"" height=""209"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6966d98cd2d14ba7.gif"" width=""290""/> </p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">Acid hydrolysis of <i>X</i> yields two different organic compounds. Which one of the following is <i>X</i>?</font></p>","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_24f17916335d6326.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_1918409c90591615.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_fded24a779cab470.gif""/>    ","   <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_4b50fbcf14d7f3d2.gif""/>     ",,,3," <p> <img align=""bottom"" height=""21"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_f7e492c20d8f2b82.gif"" width=""289""/> </p> <p> <font face=""Cambria Math, serif""><i>(X)</i></font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">An alcohol, on oxidation, produces a ketone with the same number of carbon atoms. When the ketone is oxidized, it yields an acid with a lesser number of carbon atoms. The alcohol could be a</font></p>",   Primary alcohol   ,   Secondary alcohol   ,   Tertiary alcohol   ,   None of these    ,,,2 ," <p> <font face=""Cambria Math, serif"">On oxidation, secondary alcohol produces ketone with same number of carbon atom and on further oxidation ketone produces an acid with a lesser number of carbon atoms</font></p> <p><img align=""bottom"" height=""109"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_8fe41fc5a36d1dbb.gif"" width=""222""/> c</p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <img align=""bottom"" height=""104"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_2e1c1d9d1c8e738b.gif"" width=""285""/> </p> <p><font face=""Cambria Math, serif"">In this reaction, </font> <img align=""absmiddle"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_e9fa0f6f5afac7f3.gif""/> <font face=""Cambria Math, serif""> is</font></p>","   <img align=""bottom"" height=""89"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_18c764067ea9ec4e.gif"" width=""108""/>    ","   <img align=""bottom"" height=""103"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_6b8aecf249b22f99.gif"" width=""64""/>    ","   <img align=""bottom"" height=""112"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_94a7c34a3555df6b.gif"" width=""51""/>    ","   <img align=""bottom"" height=""91"" src=""ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK_html_98182c5aaeb91ac8.gif"" width=""88""/>     ",,,2 ,,ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p> <font face=""Cambria Math, serif"">At room temperature formaldehyde is :</font></p>",   Gas   ,   Liquid     ,   Solid     ,   None of these      ,,,1 ," <p><font face=""Cambria Math, serif"">HCHO is gas at room temperature.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
"<p align=""justify""> <font face=""Cambria Math, serif"">Positive Beilstein test shows that:</font></p>",   Halogens are surely present           ,   Halogens are absent         ,   Halogens may be present           ,   None of the above    ,,,3," <p><font face=""Cambria Math, serif"">Beilstein test (or Cu wire test of halogens) is also given by some other compounds such as urea, thio urea, etc.</font></p> </td> </tr> <tr> <td width=""9%""><p> ",ALDEHYDESKETONESANDCARBOXYLICACIDS1QUESTIONBANK
